x,y,gene
18104,59593,AADAT
18153,60236,AADAT
18153,60236,AADAT
18293,58619,AADAT
18303,59739,AADAT
18469,58833,AADAT
18469,58833,AADAT
18492,59725,AADAT
18555,60699,AADAT
18660,58792,AADAT
18717,59943,AADAT
18861,59831,AADAT
18861,59831,AADAT
18861,59831,AADAT
16678,59830,AAGAB
16678,59830,AAGAB
16694,59810,AAGAB
16851,58982,AAGAB
16851,58982,AAGAB
16984,60119,AAGAB
17044,60532,AAGAB
17096,59844,AAGAB
17144,58744,AAGAB
17187,60624,AAGAB
17272,60765,AAGAB
17272,60765,AAGAB
17375,59684,AAGAB
17381,59388,AAGAB
17653,60528,AAGAB
17781,58660,AAGAB
17803,60145,AAGAB
17926,59606,AAGAB
17960,59921,AAGAB
18031,60581,AAGAB
18031,60581,AAGAB
18127,59030,AAGAB
18129,59488,AAGAB
18129,59488,AAGAB
18132,58776,AAGAB
18132,58776,AAGAB
18215,59631,AAGAB
18243,60730,AAGAB
18266,60422,AAGAB
18273,59271,AAGAB
18596,59036,AAGAB
18610,60722,AAGAB
18645,59637,AAGAB
18713,60260,AAGAB
18740,59948,AAGAB
18865,59386,AAGAB
16685,58752,AAK1
16685,58752,AAK1
16685,58752,AAK1
16685,58752,AAK1
16686,58753,AAK1
16686,58753,AAK1
16686,58753,AAK1
16686,58753,AAK1
16689,58513,AAK1
16694,59473,AAK1
16694,59473,AAK1
16704,60425,AAK1
16704,60425,AAK1
16704,60425,AAK1
16736,60752,AAK1
16768,58579,AAK1
16768,58579,AAK1
16792,59784,AAK1
16792,59582,AAK1
16797,58979,AAK1
16800,60111,AAK1
16801,60107,AAK1
16824,60733,AAK1
16836,58678,AAK1
16839,58440,AAK1
16839,58440,AAK1
16844,60795,AAK1
16854,60300,AAK1
16856,60797,AAK1
16868,59718,AAK1
16870,59680,AAK1
16874,60362,AAK1
16882,60136,AAK1
16882,60136,AAK1
16884,59426,AAK1
16887,58765,AAK1
16887,60363,AAK1
16888,60624,AAK1
16893,60480,AAK1
16899,60601,AAK1
16909,59037,AAK1
16917,60196,AAK1
16917,60196,AAK1
16921,60589,AAK1
16921,58794,AAK1
16921,58794,AAK1
16921,58794,AAK1
16925,60432,AAK1
16928,60391,AAK1
16929,58639,AAK1
16929,60518,AAK1
16941,58995,AAK1
16942,60439,AAK1
16944,59885,AAK1
16946,60577,AAK1
16959,59914,AAK1
16960,60010,AAK1
16961,58802,AAK1
16969,59312,AAK1
16973,58705,AAK1
16997,60157,AAK1
16998,60694,AAK1
17006,60632,AAK1
17013,60062,AAK1
17029,60280,AAK1
17029,60280,AAK1
17029,60280,AAK1
17040,60703,AAK1
17065,60667,AAK1
17073,59034,AAK1
17074,59226,AAK1
17075,59379,AAK1
17082,60620,AAK1
17085,60460,AAK1
17090,58564,AAK1
17098,59572,AAK1
17098,59572,AAK1
17098,59572,AAK1
17102,59690,AAK1
17121,60749,AAK1
17132,59073,AAK1
17135,60756,AAK1
17148,58745,AAK1
17148,58745,AAK1
17158,60227,AAK1
17165,60082,AAK1
17169,59159,AAK1
17170,60445,AAK1
17175,59766,AAK1
17178,60154,AAK1
17188,58478,AAK1
17199,60259,AAK1
17206,59578,AAK1
17206,58922,AAK1
17206,58922,AAK1
17208,58486,AAK1
17209,60434,AAK1
17209,60434,AAK1
17214,58985,AAK1
17222,59450,AAK1
17227,60497,AAK1
17228,60109,AAK1
17235,59300,AAK1
17235,60282,AAK1
17258,60064,AAK1
17259,59680,AAK1
17259,59680,AAK1
17272,60765,AAK1
17278,58970,AAK1
17280,59750,AAK1
17285,59730,AAK1
17286,60569,AAK1
17288,60633,AAK1
17289,59945,AAK1
17300,59734,AAK1
17304,60245,AAK1
17309,60238,AAK1
17324,59510,AAK1
17326,58720,AAK1
17326,58720,AAK1
17326,58720,AAK1
17326,58720,AAK1
17337,58921,AAK1
17362,59905,AAK1
17362,59702,AAK1
17370,60198,AAK1
17375,59438,AAK1
17391,59391,AAK1
17391,59391,AAK1
17391,58457,AAK1
17391,58457,AAK1
17394,59259,AAK1
17404,60542,AAK1
17404,60542,AAK1
17417,59100,AAK1
17417,59100,AAK1
17455,59235,AAK1
17456,59160,AAK1
17459,59410,AAK1
17460,59979,AAK1
17460,59979,AAK1
17460,59979,AAK1
17463,60706,AAK1
17467,59571,AAK1
17477,59947,AAK1
17488,59235,AAK1
17491,59310,AAK1
17505,60579,AAK1
17507,59577,AAK1
17511,60587,AAK1
17520,59688,AAK1
17520,59688,AAK1
17523,60506,AAK1
17525,58908,AAK1
17534,59435,AAK1
17553,60541,AAK1
17567,60197,AAK1
17590,60429,AAK1
17609,59678,AAK1
17616,59418,AAK1
17620,58786,AAK1
17638,59645,AAK1
17638,59645,AAK1
17638,59645,AAK1
17645,60030,AAK1
17663,58716,AAK1
17664,58472,AAK1
17665,60475,AAK1
17674,59302,AAK1
17677,60478,AAK1
17686,59563,AAK1
17693,58488,AAK1
17695,60695,AAK1
17706,58571,AAK1
17737,58538,AAK1
17738,59411,AAK1
17740,60821,AAK1
17748,60733,AAK1
17756,60747,AAK1
17757,60748,AAK1
17763,60632,AAK1
17765,59790,AAK1
17766,60715,AAK1
17766,60715,AAK1
17767,58944,AAK1
17780,59931,AAK1
17784,59926,AAK1
17789,59201,AAK1
17789,59646,AAK1
17791,59849,AAK1
17793,60428,AAK1
17794,60063,AAK1
17796,59831,AAK1
17796,59831,AAK1
17802,58886,AAK1
17804,60069,AAK1
17809,59976,AAK1
17809,60654,AAK1
17813,60187,AAK1
17813,60622,AAK1
17817,60443,AAK1
17817,60443,AAK1
17817,60443,AAK1
17817,60443,AAK1
17834,59084,AAK1
17836,60353,AAK1
17848,59814,AAK1
17863,60802,AAK1
17864,60802,AAK1
17864,60802,AAK1
17867,59254,AAK1
17867,59254,AAK1
17867,59254,AAK1
17875,60811,AAK1
17876,59268,AAK1
17882,59453,AAK1
17884,60350,AAK1
17886,59291,AAK1
17914,59025,AAK1
17917,60372,AAK1
17920,59197,AAK1
17926,60449,AAK1
17930,59185,AAK1
17935,60486,AAK1
17937,60485,AAK1
17938,60485,AAK1
17939,60448,AAK1
17941,59126,AAK1
17941,59126,AAK1
17942,59616,AAK1
17956,58918,AAK1
17956,58918,AAK1
17956,58918,AAK1
17968,58921,AAK1
17981,59779,AAK1
17981,59779,AAK1
17981,59779,AAK1
17985,58684,AAK1
17987,58559,AAK1
17987,58559,AAK1
17987,58559,AAK1
17987,58559,AAK1
17988,59431,AAK1
17988,59431,AAK1
17990,58584,AAK1
17990,58584,AAK1
17990,58584,AAK1
17990,58584,AAK1
17996,59540,AAK1
17996,59540,AAK1
18016,58693,AAK1
18018,59788,AAK1
18027,59762,AAK1
18028,58381,AAK1
18040,59867,AAK1
18040,60816,AAK1
18062,58459,AAK1
18065,59979,AAK1
18065,59979,AAK1
18065,59979,AAK1
18068,58837,AAK1
18072,60726,AAK1
18081,58866,AAK1
18097,59692,AAK1
18111,58483,AAK1
18121,59022,AAK1
18126,60640,AAK1
18126,60640,AAK1
18126,60640,AAK1
18134,60250,AAK1
18136,58395,AAK1
18137,60786,AAK1
18149,59552,AAK1
18153,60275,AAK1
18162,59006,AAK1
18192,59151,AAK1
18192,59151,AAK1
18192,59151,AAK1
